Model,MDO3104
Firmware Version,1.10

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-05,
Horizontal Delay,-2.18e-05,
Sample Interval,2e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,5,500
Vertical Units,A,V
Vertical Offset,0,0
Vertical Scale,1,250
Vertical Position,-0.66,-0.66
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.135200e-04,0.0110938,6.67969
-1.135000e-04,0.005625,7.10938
-1.134800e-04,0.0185937,8.20312
-1.134600e-04,0.0173437,5.89844
-1.134400e-04,0.00796875,6.01562
-1.134200e-04,0.0173437,6.67969
-1.134000e-04,0.0103125,5.89844
-1.133800e-04,0.0153125,8.125
-1.133600e-04,0.014375,3.67188
-1.133400e-04,0.0129687,8.28125
-1.133200e-04,0.0170313,6.91406
-1.133000e-04,0.00578125,4.72656
-1.132800e-04,0.015,6.95312
-1.132600e-04,0.00828125,5.42969
-1.132400e-04,0.0129687,5.42969
-1.132200e-04,0.0134375,4.92188
-1.132000e-04,0.00953125,5.03906
-1.131800e-04,0.0090625,8.28125
-1.131600e-04,0.023125,5.66406
-1.131400e-04,0.0165625,7.26562
-1.131200e-04,0.013125,5.625
-1.131000e-04,0.0207812,7.30469
-1.130800e-04,0.0139063,5.42969
-1.130600e-04,0.0164063,6.05469
-1.130400e-04,0.0189063,9.25781
-1.130200e-04,0.0151562,6.13281
-1.130000e-04,0.0139063,9.41406
-1.129800e-04,0.0126563,6.75781
-1.129600e-04,0.0109375,7.73438
-1.129400e-04,0.0109375,7.53906
-1.129200e-04,0.0159375,8.08594
-1.129000e-04,0.0225,6.95312
-1.128800e-04,0.0176563,6.52344
-1.128600e-04,0.0192188,7.92969
-1.128400e-04,0.010625,6.36719
-1.128200e-04,0.0075,5.97656
-1.128000e-04,0.0107812,6.09375
-1.127800e-04,0.0125,7.26562
-1.127600e-04,0.0164063,5.50781
-1.127400e-04,0.0103125,6.21094
-1.127200e-04,0.01875,6.44531
-1.127000e-04,0.00859375,8.71094
-1.126800e-04,0.0146875,7.07031
-1.126600e-04,0.00875,6.17188
-1.126400e-04,0.009375,6.875
-1.126200e-04,0.0126563,6.91406
-1.126000e-04,0.0125,7.73438
-1.125800e-04,0.0121875,7.1875
-1.125600e-04,0.0114063,8.59375
-1.125400e-04,0.005625,6.48438
-1.125200e-04,0.0126563,7.8125
-1.125000e-04,0.00625,7.03125
-1.124800e-04,0.0139063,4.6875
-1.124600e-04,0.0160938,6.17188
-1.124400e-04,0.00796875,5.15625
-1.124200e-04,0.0159375,5.97656
-1.124000e-04,0.00953125,6.17188
-1.123800e-04,0.0104688,6.17188
-1.123600e-04,0.0151562,5.66406
-1.123400e-04,0.0101562,5.66406
-1.123200e-04,0.0126563,6.17188
-1.123000e-04,0.0146875,6.5625
-1.122800e-04,0.0139063,4.64844
-1.122600e-04,0.01,7.30469
-1.122400e-04,0.015,3.90625
-1.122200e-04,0.0170313,5.27344
-1.122000e-04,0.0053125,7.73438
-1.121800e-04,0.0145312,7.61719
-1.121600e-04,0.019375,6.60156
-1.121400e-04,0.011875,5
-1.121200e-04,0.0123437,7.30469
-1.121000e-04,0.018125,5.23438
-1.120800e-04,0.01875,7.22656
-1.120600e-04,0.0145312,7.46094
-1.120400e-04,0.0110938,5.74219
-1.120200e-04,0.00546875,5.9375
-1.120000e-04,0.0125,5.46875
-1.119800e-04,0.0140625,7.34375
-1.119600e-04,0.0179687,9.0625
-1.119400e-04,0.0153125,7.8125
-1.119200e-04,0.00765625,6.52344
-1.119000e-04,0.0117188,6.52344
-1.118800e-04,0.0153125,7.73438
-1.118600e-04,0.0128125,7.1875
-1.118400e-04,0.0139063,7.8125
-1.118200e-04,0.0104688,5.46875
-1.118000e-04,0.0129687,8.24219
-1.117800e-04,0.0146875,4.02344
-1.117600e-04,0.00828125,7.30469
-1.117400e-04,0.0167188,6.17188
-1.117200e-04,0.00890625,7.69531
-1.117000e-04,0.0117188,7.30469
-1.116800e-04,0.0101562,6.28906
-1.116600e-04,0.014375,6.05469
-1.116400e-04,0.0196875,6.52344
-1.116200e-04,0.0129687,6.32812
-1.116000e-04,0.00765625,7.8125
-1.115800e-04,0.0109375,5.625
-1.115600e-04,0.0120313,5.78125
-1.115400e-04,0.0179687,6.05469
-1.115200e-04,0.0126563,6.25
-1.115000e-04,0.0159375,5.89844
-1.114800e-04,0.00625,8.125
-1.114600e-04,0.003125,8.16406
-1.114400e-04,0.0103125,9.33594
-1.114200e-04,0.0148438,7.1875
-1.114000e-04,0.0165625,5.50781
-1.113800e-04,0.00984375,5.3125
-1.113600e-04,0.008125,8.16406
-1.113400e-04,0.013125,5.11719
-1.113200e-04,0.00734375,5.58594
-1.113000e-04,0.0170313,6.95312
-1.112800e-04,0.00640625,6.09375
-1.112600e-04,0.00921875,6.44531
-1.112400e-04,0.010625,7.53906
-1.112200e-04,0.0101562,8.59375
-1.112000e-04,0.015625,6.44531
-1.111800e-04,0.0157812,7.10938
-1.111600e-04,0.0154688,8.16406
-1.111400e-04,0.015,8.35938
-1.111200e-04,0.00671875,5.89844
-1.111000e-04,0.0132813,7.42188
-1.110800e-04,0.02,7.42188
-1.110600e-04,0.013125,6.36719
-1.110400e-04,0.0128125,9.21875
-1.110200e-04,0.00453125,5.82031
-1.110000e-04,0.008125,7.53906
-1.109800e-04,0.0184375,8.55469
-1.109600e-04,0.0153125,8.4375
-1.109400e-04,0.0184375,7.07031
-1.109200e-04,0.00609375,6.40625
-1.109000e-04,0.016875,7.77344
-1.108800e-04,0.00859375,7.65625
-1.108600e-04,0.0140625,7.53906
-1.108400e-04,0.0140625,7.03125
-1.108200e-04,0.0107812,7.26562
-1.108000e-04,0.0107812,6.79688
-1.107800e-04,0.0065625,9.14062
-1.107600e-04,0.0164063,6.99219
-1.107400e-04,0.0179687,5.66406
-1.107200e-04,0.015,6.83594
-1.107000e-04,0.0195312,5.42969
-1.106800e-04,0.0090625,8.125
-1.106600e-04,0.0117188,7.22656
-1.106400e-04,0.0190625,6.09375
-1.106200e-04,0.0189063,6.25
-1.106000e-04,0.0104688,4.0625
-1.105800e-04,0.0135938,4.88281
-1.105600e-04,0.0126563,6.32812
-1.105400e-04,0.0107812,7.1875
-1.105200e-04,0.02125,6.71875
-1.105000e-04,0.0125,7.5
-1.104800e-04,0.0115625,6.36719
-1.104600e-04,0.0160938,4.64844
-1.104400e-04,0.0164063,4.53125
-1.104200e-04,0.00953125,7.14844
-1.104000e-04,0.0107812,9.25781
-1.103800e-04,0.0135938,7.14844
-1.103600e-04,0.0107812,6.21094
-1.103400e-04,0.014375,6.48438
-1.103200e-04,0.0179687,6.95312
-1.103000e-04,0.0198438,7.5
-1.102800e-04,0.0159375,6.09375
-1.102600e-04,0.0175,3.90625
-1.102400e-04,0.0115625,5.82031
-1.102200e-04,0.00828125,7.1875
-1.102000e-04,0.0148438,8.59375
-1.101800e-04,0.015625,5.89844
-1.101600e-04,0.0120313,5.9375
-1.101400e-04,0.006875,5.15625
-1.101200e-04,0.0071875,7.14844
-1.101000e-04,0.0109375,5.66406
-1.100800e-04,0.0135938,6.95312
-1.100600e-04,0.0171875,6.71875
-1.100400e-04,0.0142188,6.28906
-1.100200e-04,0.0123437,7.1875
-1.100000e-04,0.0125,4.80469
-1.099800e-04,0.011875,7.22656
-1.099600e-04,0.015625,8.00781
-1.099400e-04,0.0184375,6.5625
-1.099200e-04,0.0117188,5.54688
-1.099000e-04,0.0110938,6.52344
-1.098800e-04,0.005,7.65625
-1.098600e-04,0.0110938,7.10938
-1.098400e-04,0.0167188,7.10938
-1.098200e-04,0.0184375,7.22656
-1.098000e-04,0.0121875,5.54688
-1.097800e-04,0.01375,7.69531
-1.097600e-04,0.0120313,7.14844
-1.097400e-04,0.0117188,8.32031
-1.097200e-04,0.01125,7.92969
-1.097000e-04,0.0101562,6.64062
-1.096800e-04,0.0182813,7.85156
-1.096600e-04,0.013125,6.05469
-1.096400e-04,0.015625,7.42188
-1.096200e-04,0.00984375,7.07031
-1.096000e-04,0.0078125,8.24219
-1.095800e-04,0.0134375,7.53906
-1.095600e-04,0.0145312,6.99219
-1.095400e-04,0.01375,5.27344
-1.095200e-04,0.0110938,6.60156
-1.095000e-04,0.0121875,6.52344
-1.094800e-04,0.015,7.73438
-1.094600e-04,0.0170313,5.3125
-1.094400e-04,0.006875,8.47656
-1.094200e-04,0.0173437,7.57812
-1.094000e-04,0.010625,7.57812
-1.093800e-04,0.0142188,6.21094
-1.093600e-04,0.018125,6.05469
-1.093400e-04,0.00578125,5.50781
-1.093200e-04,0.0153125,5.27344
-1.093000e-04,0.018125,8.47656
-1.092800e-04,0.0179687,9.17969
-1.092600e-04,0.0214063,7.30469
-1.092400e-04,0.0189063,5.82031
-1.092200e-04,0.0101562,10.1953
-1.092000e-04,0.01125,6.875
-1.091800e-04,0.0189063,5.50781
-1.091600e-04,0.01125,6.67969
-1.091400e-04,0.0192188,6.83594
-1.091200e-04,0.01,7.38281
-1.091000e-04,0.0110938,5.42969
-1.090800e-04,0.0103125,6.52344
-1.090600e-04,0.0160938,5.23438
-1.090400e-04,0.013125,7.14844
-1.090200e-04,0.0204688,7.07031
-1.090000e-04,0.015,7.07031
-1.089800e-04,0.0128125,6.44531
-1.089600e-04,0.0170313,6.95312
-1.089400e-04,0.0090625,7.77344
-1.089200e-04,0.0148438,5.70312
-1.089000e-04,0.0160938,5.89844
-1.088800e-04,0.0117188,6.44531
-1.088600e-04,0.0160938,7.65625
-1.088400e-04,0.0123437,6.28906
-1.088200e-04,0.01375,9.02344
-1.088000e-04,0.0192188,6.67969
-1.087800e-04,0.0146875,5.03906
-1.087600e-04,0.0101562,6.83594
-1.087400e-04,0.011875,7.92969
-1.087200e-04,0.0140625,6.91406
